2019-03-24_14:51:02:
- etiqueta de inquérito excluída: apagar
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-21_14:48:15.html	teste	57	4	\tobj\t.*::\tADJ\t 	2.4_workbench_v2.conllu	2019-03-21_14:48:15
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-20_19:14:59.html	teste	57	4	\tobj\t.*::\tADJ\t	checar_obl_obj_iobj.conllu	2019-03-20_19:14:59
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-20_19:13:56.html	teste	0	1	4.\tobj\t.*::\tADJ\t	checar_obl_obj_iobj.conllu	2019-03-20_19:13:56
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-20_18:33:52.html	teste	1	1	o que mais sustenta	bosque_AUX_oque.conllu	2019-03-20_18:33:52
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-20_16:51:10.html	teste	80	1	\tADP\t.*\t(obl|iobj)\t	bosque_validate.conllu	2019-03-20_16:51:10
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-19_23:17:17.html	teste	2942	1	VerbForm=Part	checar_acl_advcl.conllu	2019-03-19_23:17:17
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-19_23:04:28.html	teste	4192	1	(ado|ada)(?!.*VerbForm=Part)	checar_acl_advcl.conllu	2019-03-19_23:04:28
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-19_23:13:22.html	teste	1382	3	.*(ado|ada)\t :: !.*(ado|ada)\t.*VerbForm=Part	checar_acl_advcl.conllu	2019-03-19_23:13:22
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-19_23:08:58.html	teste	1382	3	.*(ado|ada)\t :: !.*(ado|ada)\t.*VerbForm=Part	checar_acl_advcl.conllu	2019-03-19_23:08:58
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-19_23:16:49.html	teste	34	1	\tADJ\t.*VerbForm=Part	checar_acl_advcl.conllu	2019-03-19_23:16:49
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-19_23:04:50.html	teste	1732	1	.*(ado|ada)\t(?!.*VerbForm=Part)	checar_acl_advcl.conllu	2019-03-19_23:04:50
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-19_21:57:44.html	teste	223	1	npmod	MC_DEPREL_CLAUDIA.conllu	2019-03-19_21:57:44
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-18_20:27:21.html	teste	348	1	npmod	MC_DEPREL_CLAUDIA.conllu	2019-03-18_20:27:21
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-18_02:23:06.html	teste	34	1	teste	bosque_validate.conllu	2019-03-18_02:23:06
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-18_02:13:18.html	teste	0	1	\t,\t.*\n.*\tNUM\t.*\tappos\t.*\n.*\t,\t	appos_num.conllu	2019-03-18_02:13:18
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-18_01:23:57.html	teste	405	1	@APP	bosque_validate.conllu	2019-03-18_01:23:57
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-18_01:13:36.html	teste	2164	1	appos\t	bosque_UD_2.4.conllu	2019-03-18_01:13:36
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-17_22:05:41.html	teste	8347	1	\tDET(?!.*det)	bosque_validate.conllu	2019-03-17_22:05:41
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-15_18:54:06.html	teste	8344	1	\tDET\t(?!.*det)	bosque_validate.conllu	2019-03-15_18:54:06
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-15_18:37:27.html	teste	8344	1	\tDET\t(?!.*det)	bosque_validate.conllu	2019-03-15_18:37:27
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-15_19:10:14.html	teste	28	3	\tDET\t :: !\tDET\t.*det	bosque_validate.conllu	2019-03-15_19:10:14
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-15_18:45:41.html	teste	1196	1	.*\t.*\t.*\tNUM\t(?!.*nummod)	MC_DEPREL_CLAUDIA.conllu	2019-03-15_18:45:41
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-15_18:37:56.html	teste	1196	1	.*\t.*\t.*\tNUM\t(?!.*nummod)	MC_DEPREL_CLAUDIA.conllu	2019-03-15_18:37:56
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-15_18:36:11.html	teste	1196	1	.*\t.*\t.*\tNUM\t(?!.*nummod)	MC_DEPREL_CLAUDIA.conllu	2019-03-15_18:36:11
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-15_18:34:24.html	teste	1196	1	.*\t.*\t.*\tNUM\t(?!.*nummod)	MC_DEPREL_CLAUDIA.conllu	2019-03-15_18:34:24
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-15_18:40:31.html	teste	1	1	CP66-8	numeros_15.03.19.conllu	2019-03-15_18:40:31
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-15_17:56:36.html	teste	1196	1	.*\t.*\t.*\tNUM\t(?!.*nummod)	MC_DEPREL_CLAUDIA.conllu	2019-03-15_17:56:36
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-15_17:37:35.html	teste	0	1	\tNUM\t.*\n.*\tNUM.*nummod	numeros_15.03.19.conllu	2019-03-15_17:37:35
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-15_16:45:33.html	teste	131	1	\tNUM\t.*\n.*\tNUM(?!.*flat)	numeros_15.03.19.conllu	2019-03-15_16:45:33
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-15_16:16:47.html	teste	0	4	nummod::case	MC_DEPREL_CLAUDIA.conllu	2019-03-15_16:16:47
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-15_16:00:06.html	teste	98	4	nummod::ADP	MC_DEPREL_CLAUDIA.conllu	2019-03-15_16:00:06
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-05_00:55:21.html	teste	1084	1	N<PRED.*appos	bosque_validate.conllu	2019-03-05_00:55:21
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-05_00:55:56.html	teste	158	1	N<PRED.*appos:parataxis	bosque_validate.conllu	2019-03-05_00:55:56
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-05_00:46:46.html	teste	959	1	N<PRED.*appos\t	bosque_validate.conllu	2019-03-05_00:46:46
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-05_00:43:14.html	teste	1	1	CF883-1	bosque_validate.conllu	2019-03-05_00:43:14
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-05_00:39:12.html	teste	438	4	N<PRED.*case :: !appos:parataxis	bosque_validate.conllu	2019-03-05_00:39:12
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-04_23:34:28.html	teste	34	1	teste	bosque_UD_2.4.conllu	2019-03-04_23:34:28
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-04_13:02:50.html	teste	1	1	Seis milhões em dez	bosque_validate.conllu	2019-03-04_13:02:50
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-04_12:55:25.html	teste	1	1	O Ambulim	bosque_validate.conllu	2019-03-04_12:55:25
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-03_22:00:21.html	teste	1	1	CF998-4	bosque_validate.conllu	2019-03-03_22:00:21
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-03_21:25:56.html	teste	347	1	nmod:npmod	bosque_validate.conllu	2019-03-03_21:25:56
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-03_19:49:28.html	teste	9365	1	# text	bosque_UD_2.4.conllu	2019-03-03_19:49:28
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-03_20:13:30.html	teste	1	1	CF12-1	bosque_UD_2.4.conllu	2019-03-03_20:13:30
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-03_19:46:37.html	teste	9365	1	# text	bosque_UD_2.4.conllu	2019-03-03_19:46:37
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-01_17:27:34.html	teste	2	1	CF952-2|CF958-14	MC_DEPREL_CLAUDIA.conllu	2019-03-01_17:27:34
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-01_17:24:16.html	teste	0	1	CF952-2 CF958-14	MC_DEPREL_CLAUDIA.conllu	2019-03-01_17:24:16
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-01_17:23:34.html	teste	1	1	CF952-2	MC_DEPREL_CLAUDIA.conllu	2019-03-01_17:23:34
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-01_04:05:00.html	teste	9365	1	# source	bosque_validate.conllu	2019-03-01_04:05:00
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-01_03:56:01.html	teste	9365	1	# text = 	bosque_validate.conllu	2019-03-01_03:56:01
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-03-01_01:42:06.html	teste	9365	1	# text	bosque_UD_2.4.conllu	2019-03-01_01:42:06
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-02-28_22:58:38.html	teste	10	1	\tAUX\t.*\troot\t	bosque_UD_2.4.conllu	2019-02-28_22:58:38
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-02-28_22:21:27.html	teste	90	1	querer.*\tVERB\t.*\n.*\tVERB\t	bosque_AUX_oque.conllu	2019-02-28_22:21:27
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-02-28_22:21:11.html	teste	0	1	querer.*\tVERB\t.*\tVERB\t	bosque_AUX_oque.conllu	2019-02-28_22:21:11
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-02-28_22:20:37.html	teste	157	1	querer.*\tVERB\t	bosque_AUX_oque.conllu	2019-02-28_22:20:37
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-02-28_22:20:22.html	teste	0	1	querer.*\tAUX\t	bosque_AUX_oque.conllu	2019-02-28_22:20:22
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-02-28_22:12:52.html	teste	20	1	poder.*\tVERB\t	bosque_UD_2.4.conllu	2019-02-28_22:12:52
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-02-28_22:06:01.html	teste	413	1	poder.*\tAUX\t	bosque_UD_2.4.conllu	2019-02-28_22:06:01
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-02-28_22:04:47.html	teste	7	1	poder.*\tVERB\t	bosque_UD_2.4.conllu	2019-02-28_22:04:47
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-02-28_22:04:02.html	teste	0	1	poder.*\tVERB\t.*\n.*\tVERB\t	bosque_UD_2.4.conllu	2019-02-28_22:04:02
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-02-28_21:32:33.html	teste	6	1	Seis milhões	bosque_AUX_oque.conllu	2019-02-28_21:32:33
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-02-28_20:03:28.html	teste	708	1	(.*NOUN.*)(\n.*ADJ.*)*\n(.*PROPN.*appos)	bosque_UD_2.4.conllu	2019-02-28_20:03:28
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-02-24_06:09:15.html	teste	1	3	!root	bosque_UD_2.4_train_e_dev_editado.conllu	2019-02-24_06:09:15
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-02-21_16:31:44.html	teste	319	1	\to\t(DET|PRON)\t(!?.*det).*\n.*\tque\t.*prontype=rel	bosque_UD_2.4.conllu	2019-02-21_16:31:44
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-02-21_15:56:15.html	teste	556	1	\tADP\t.*PRT-AUX<	bosque_UD_2.4.conllu	2019-02-21_15:56:15
- entrada de pesquisa e pesquisa excluídas: /interrogar-ud/resultados/teste_2019-02-21_01:48:19.html	teste	14	3	they :: make.*VERB :: all	en_ewt_ud.conllu	2019-02-21_01:48:19
